sentence_id	paragraph_id	chapter_id	sentences
67	6	1	De verzenmaker is door de guurheid van den eersten regel aan een vol uur gebonden.
68	6	1	Het moet voor hem juist een, twee uur, enz. wezen, of de lucht mag niet guur zyn.
69	6	1	Zeven en negen is verboden door de maat.
70	6	1	Daar gaat hy dan aan 't knoeien!
71	6	1	Of het weêr moet veranderd, òf de tyd.
72	6	1	Eén van beiden is dan gelogen.
73	7	1	En niet alleen die verzen lokken de jeugd tot onwaarheid.
74	7	1	Ga eens in den schouwburg, en luister dáár wat er voor leugens aan den man worden gebracht.
75	7	1	De held van 't stuk wordt uit het water gehaald door iemand die op 't punt staat bankroet te maken.
76	7	1	Dan geeft hy hem zyn halve vermogen.
77	7	1	Dat kan niet waar zyn.
78	7	1	Toen onlangs op de Prinsengracht myn hoed te-water woei - Frits zegt: waaide - heb ik den man die hem my terugbracht, een dubbeltje gegeven;
79	7	1	en hy was tevreden.
80	7	1	Ik weet wel dat ik iets meer had moeten geven als hy myzelf er uit gehaald had, maar zeker myn halve vermogen niet.
81	7	1	't Is immers duidelyk dat men op die wys maar tweemaal in 't water hoeft te vallen om doodarm te wezen.
82	7	1	Wat het ergste is by zulke vertooningen op het tooneel, het publiek gewent zich zóó aan al die onwaarheden, dat het ze mooi vindt en toejuicht.
83	7	1	Ik had weleens lust zoo'n heel parterre in 't water te gooien, om te zien wie dat toe juichen
84	7	1	gemeend had.
85	7	1	Ik, die van waarheid houd, waarschuw ieder dat ik voor 't opvisschen van myn persoon geen zoo hoog bergloon betalen wil.
86	7	1	Wie met minder niet tevreden is, mag me laten liggen.
87	7	1	Alleen Zondags zou ik iets meer geven, omdat ik dan myn kantilje ketting draag, en een anderen rok.
88	8	1	Ja, dat tooneel bederft velen, meer nog dan de romans.
89	8	1	Het is zoo aanschouwelyk!
90	8	1	Met wat klatergoud en wat kant van uitgeslagen papier, ziet er dat alles zoo aanlokkelyk uit.
91	8	1	Voor kinderen, meen ik, en voor menschen die niet in zaken zyn.
92	8	1	Zelfs als die tooneelmenschen armoede willen voorstellen, is hun voorstelling altyd leugenachtig.
93	8	1	Een meisje wier vader bankroet maakte, werkt om de familie te onderhouden.
94	8	1	Heel goed.
95	8	1	Daar zit ze dan te naaien, te breien of te borduren.
96	8	1	Maar tel nu eens de steken die ze doet gedurende het heele bedryf.
97	8	1	Ze praat, ze zucht, ze loopt naar 't venster, maar werken doet ze niet.
98	8	1	De familie die van dezen arbeid leven kan, heeft weinig noodig.
99	8	1	Zoo'n meisjen is natuurlyk de heldin.
100	8	1	Ze heeft eenige verleiders de trappen afgeworpen, ze roept gedurig: ”o myne moeder, o, myne moeder!
101	8	1	“ en stelt dus de deugd voor.
102	8	1	Wat is dat voor een deugd, die een vol jaar noodig heeft voor een paar wollen kousen?
103	8	1	Geeft dit alles niet valsche denkbeelden van deugd, en ” werken voor den kost?
104	8	1	Alles gekheid en leugens!
105	9	1	Dan komt haar eerste minnaar - die vroeger klerk was aan 't kopieboek, maar nu schatryk - op-eens terug, en trouwt haar.
106	9	1	Ook weer leugens.
107	9	1	Wie geld heeft, trouwt geen meisjen uit een gefailleerd huis.
108	9	1	En als ge meent, dat dit op het tooneel er dóór kan als uitzondering, blyft toch myn aanmerking bestaan, dat men den zin voor waarheid bederft by het volk, dat de uitzondering als regel aanneemt, en dat men de publieke zedelykheid ondermynt, door het te gewennen iets toetejuichen op het tooneel, wat door elk fatsoenlyk makelaar of koopman voor een bespottelyke krankzinnigheid wordt gehouden in de wereld.
109	9	1	Toen ik trouwde, waren wy op 't kantoor van myn schoonvader - Last & Co - met ons dertienen, en er ging wat om!
110	10	1	En nog meer leugens op het tooneel.
111	10	1	Als de held met zyn styven komediestap weggaat om 't verdrukte vaderland te redden, waarom gaat dan de dubbele achterdeur altyd vanzelf open?
112	10	1	En verder, hoe kan de persoon die in verzen spreekt, voorzien wat de ander te antwoorden heeft, om hem 't rym gemakkelyk te maken?
113	10	1	Als de veldheer tot de prinses Zegt: ” mevrouw, het is te laat, de poorten zyn gesloten
114	10	1	hoe kan hy dan vooruit weten, dat zy zeggen wil:
115	10	1	” welaan dan, onversaagd, men doe het zwaard ontblooten?
116	10	1	Want als zy nu eens, hoorende dat de poort toe was, antwoordde dat ze dan wat wachten zou tot er geopend werd, of dat zy een andermaal eens terug zou komen, waar bleef dan maat en rym?
117	10	1	Is het dus niet een pure leugen, als de veldheer de prinses vragend aanziet, om te weten wat ze doen wil na 't poortsluiten?
118	10	1	Nog-eens: als 't mensch nu eens lust had gehad te gaan slapen, in plaats van iets te ontblooten?
119	10	1	Alles leugens!
120	11	1	En dan die beloonde deugd!
121	11	1	O, o, o!
122	11	1	Ik ben sedert zeventien jaren makelaar in koffi - Lauriergracht, N 37 - en heb dus al zoo-iets bygewoond, maar het stuit my altyd vreeselyk, als ik de goede lieve waarheid zóó zie verdraaien.
123	11	1	Beloonde deugd?
124	11	1	Is 't niet om van de deugd een handelsartikel te maken?
125	11	1	Het is zoo niet in de wereld, en 't is goed dat het niet zoo is.
126	11	1	Want waar bleef de verdienste, als de deugd beloond werd?
127	11	1	Waartoe dus die infame leugens altyd voorgewend?
128	12	1	Daar is by-voorbeeld Lukas, onze pakhuisknecht, die reeds by den vader van Last & Co heeft gewerkt - de firma was toen Last & Meyer, maar de Meyers zyn er lang uit - dàt was dan toch wel een deugdzaam man.
129	12	1	Geen boon kwam er ooit te-kort, hy ging stipt naar de kerk, en drinken deed hy niet.
130	12	1	Als myn schoonvader te Driebergen was, bewaarde hy het huis, en de kas, en alles.
131	12	1	Eens heeft hy aan de Bank zeventien gulden te veel ontvangen, en, hy bracht ze terug.
132	12	1	Hy is nu oud en jichtig, en kan niet meer dienen.
133	12	1	Nu heeft hy niets, want er gaat veel by ons om, en we hebben jong volk noodig.
134	12	1	Welnu, ik houd dien Lukas voor zeer deugdzaam, maar wordt hy nu beloond?
135	12	1	Komt er een prins die hem diamanten geeft, of een fee die hem boterhammen smeert?
136	12	1	Waarachtig niet!
137	12	1	Hy is arm, en blyft arm, en dit moet ook zoo wezen.
138	12	1	Ik kan hem niet helpen - want we hebben jong volk noodig, omdat er zooveel by ons omgaat - maar al kon ik, waar bleef zyn verdienste, als hy nu op zyn ouden dag een gemakkelyk leven leiden kon?
139	12	1	Dan zouden alle pakhuisknechts wel deugdzaam worden, en iedereen, hetgeen Gods bedoeling niet wezen kan, omdat er dan geen byzondere belooning voor de braven overbleef hier-namaals.
140	12	1	Maar op een tooneel verdraaien ze dat... alles leugens!
141	13	1	Ik ben ook deugdzaam, maar vraag ik hiervoor belooning?
142	13	1	Als myn zaken goed gaan - en dit doen ze - als myn vrouw en kinderen gezond zyn, zoodat ik geen gemaal heb met dokter en apteker... als ik jaar-in jaar-uit een sommetje kan ter-zy leggen voor den ouden dag... als Frits knap opgroeit, om later in myn plaats te komen als ik naar Driebergen ga... zie,
143	13	1	dan ben ik heel tevreden.
144	13	1	Maar dit alles is een natuurlyk gevolg van de omstandigheden, en omdat ik op de zaken pas. Voor myn deugd eisch ik niets.
145	14	1	En dat ik toch deugdzaam bèn, blykt uit myn liefde voor de waarheid.
146	14	1	Deze is, na myn gehechtheid aan het geloof, myn hoofdneiging.
147	14	1	En ik wenschte dat ge hiervan overtuigd waart, lezer, omdat het de verontschuldiging is voor 't schryven van dit boek.
148	15	1	Een tweede neiging, die my even sterk als waarheidsliefde beheerscht, is de hartstocht voor myn vak.
149	15	1	Ik ben namelyk makelaar in koffi, Lauriergracht N 37.
150	15	1	Welnu, lezer, aan myn onkreukbare liefde voor de waarheid, en aan myn yver voor de zaken, hebt gy te danken dat deze bladen geschreven zyn.
151	15	1	Ik zal u vertellen hoe dit is toegegaan.
152	15	1	Daar ik nu voor 't oogenblik afscheid van u neem - ik moet naar de beurs - noodig ik u straks op een tweede hoofdstuk.
153	15	1	Tot weerziens dus!
154	16	1	Eilieve, steek het by u...
155	16	1	't is een kleine moeite... het kan te-pas komen...
156	16	1	ei zie, daar is het:
157	16	1	een adreskaartje!
158	16	1	Die Co ben ik, sedert de Meyers er uit zyn...
159	16	1	de oude Last is myn schoonvader.
160	16	1	LAST & Co MAKELAARS IN KOFFI Lauriergracht, N 37
161	17	2	Het was slap op de beurs, maar de voorjaarsveiling zal 't wel goed maken.
162	17	2	Denk niet dat er niets by ons omgaat.
163	17	2	By Busselinck & Waterman is 't nog slapper.
164	17	2	Een vreemde wereld!
165	17	2	Men woont zoo iets by, als men zoo'n twintig jaren de beurs bezoekt.
166	17	2	Verbeeld u dat ze daar getracht hebben - Busselinck & Waterman, meen ik - my Ludwig Stern aftenemen.
167	17	2	Daar ik niet weet of gy aan de beurs bekend zyt, wil ik u even zeggen dat Stern een eerst huis is in koffi te Hamburg, dat altyd door Last & Co is bediend geworden.
168	17	2	Heel toevallig kwam ik daar achter...
169	17	2	ik meen achter de knoeiery van Busselinck & Waterman.
170	17	2	Zy zouden een kwart procent van de courtage laten vallen - onderkruipers zyn het, anders niet! - en zie nu eens wat ik gedaan heb om dien slag afteweren.
171	17	2	Een ander in myn plaats had misschien aan Ludwig Stern geschreven dat hy ook wat zou laten vallen, dat hy hoopte op konsideratie om de langdurige diensten van Last & Co... ik heb uitgerekend dat de firma, sedert ruim vyftig jaren, vier ton aan Stern verdiend heeft.
172	17	2	Die konnexie dateert van 't kontinentaal stelsel, toen wy dekoloniale waren insmokkelden van Helgoland.
173	17	2	Ja, wie weet wat 'n ander al zoo zou geschreven hebben.
174	17	2	Maar neen, onderkruipen doe ik niet.
175	17	2	Ik ben naar Polen gegaan liet me pen en papier geven, en schreef:
176	18	2	Dat de groote uitbreiding die onze zaken den laatsten tyd genomen hadden, vooral door de vele geëerde orders uit Noord-Duitschland...
177	19	2	't Is de zuivere waarheid!
178	20	2	... dat die uitbreiding eenige vermeerdering van ons personeel noodzakelyk maakte.
179	21	2	't Is de waarheid!
180	21	2	Gister-avend nog was de boekhouder na elven op 't kantoor, om zyn bril te zoeken.
181	22	2	Dat vooral zich de behoefte deed gevoelen aan fatsoenlyke, welopgevoede jongelieden, voor de korrespondentie in het duitsch.
182	22	2	Dat wel-is-waar veel duitsche jongelingen, in Amsterdam aanwezig, hiertoe de vereischte bekwaamheden bezaten, maar dat een huis dat zich respekteert...
183	23	2	't Is de zuivere waarheid!
184	24	2	... by de toenemende ligtzinnigheid en onzedelykheid onder de jeugd, by het dagelyks aangroeien van het getal fortuinzoekers, en met het oog op de noodzakelykheid om soliditeit van gedrag, hand-aan-hand te doen gaan met soliditeit in de uitvoering, van de gegeven orders...
185	25	2	't Is, waarachtig, alles de zuivere waarheid!
186	26	2	... dat zulk een huis - ik bedoel Last & Co, makelaars in koffi, Lauriergracht N. 37 - niet omzichtig genoeg wezen kon met het engageeren van sujetten.
187	27	2	Dit alles is de zuivere waarheid, lezer!
188	27	2	Weet ge wel, dat de jonge Duitscher, die op de beurs by pilaar 17 stond, weggeloopen is met de dochter van Busselinck & Waterman?
189	27	2	Onze Marie wordt ook al dertien in September.
190	28	2	... dat ik de eer had gehad van den heer Saffeler te vernemen - Saffeler reist voor Stern - dat de geachte chef der firma, de heer Ludwig Stern, een zoon had, den heer Ernest Stern, die ter volmaking zyner kommercieele kennis, eenigen tyd in een hollandsch huis wenschte geëmploieerd te zyn.
191	28	2	Dat ik met het oog op...
192	29	2	Hier herhaalde ik weer al die onzedelykheid, en vertelde de geschiedenis der dochter van Busselinck & Waterman.
193	29	2	Niet om iemand zwart te maken...
194	29	2	neen, bekladden ligt nu juist heelemaal niet in myn manier!
195	29	2	Maar... het kan nooit kwaad dat ze 't weten, dunkt me.
196	30	2	... dat ik met het oog dáárop, niets liever wenschte dan den heer Ernest Stern belast te zien met de duitsche korrespondentie van ons huis.
197	31	2	Uit kiesheid vermeed ik alle toespeling op honorarium of salaris.
198	31	2	Maar ik voegde er by:
199	32	2	Dat, indien de heer Ernest Stern het verblyf ten onzen huize - Lauriergracht N 37 - wilde voor lief nemen, myn vrouw zich bereid verklaarde als een moeder voor hem te zorgen, en dat zyn linnengoed in huis zou versteld worden.
200	33	2	Dit is de zuivere waarheid, want Marie stopt en maast heel lief.
201	33	2	En ten-slotte:
202	34	2	Dat by ons de Heer gediend werd.
203	35	2	Die kan hy in zyn zak steken, want de Sterns zyn Luthersch.
204	35	2	En ik verzond myn brief.
205	35	2	Ge begrypt dat de oude Stern niet goedschiks by Busselinck
206	35	2	Waterman
207	35	2	kan overgaan, als de jonge by ons aan 't kantoor is.
208	35	2	Ik ben zeer benieuwd naar het antwoord.
209	36	2	Om nu terug te komen op myn boek.
210	36	2	Voor eenigen tyd kom ik 's avends door de Kalverstraat, en bleef staan kyken naar den winkel van een kruienier, die zich bezighield met het sorteeren van een partytje Java, ordinair, mooi-geel, Cheribonaard, iets gebroken, met veegsel, dat me zeer interesseerde, want ik let altyd op alles.
211	36	2	Daar viel my op-eenmaal een heer in 't oog, die daarnaast voor een boekwinkel stond en me bekend voorkwam.
212	36	2	Hy scheen ook my te herkennen, want onze blikken ontmoetten elkander gedurig.
213	36	2	Ik moet betuigen dat ik te verdiept was in 't veegsel, om terstond optemerken, wat ik namelyk later zag, dat hy vry kaal in de kleeren stak.
214	36	2	Anders had ik de zaak daarby gelaten.
215	36	2	Maar op-eens schoot my de gedachte in, dat hy misschien reiziger was van een duitsch huis, die een solieden makelaar zocht.
216	36	2	Hy had dan ook wel iets van een Duitscher, en van een reiziger ook.
217	36	2	Hy was zeer blond, had blauwe oogen, en in houding en kleeding
218	36	2	iets dat den vreemdeling verraadde.
219	36	2	In-plaats van een behoorlyken winterjas, hing hem een soort van sjaal over den schouder - Frits zegt ”shawl“ maar dit doe ik niet - alsof hy zoo van de reis kwam.
220	36	2	Ik meende een klant te zien, en gaf hem een adreskaartje:
221	36	2	Last & Co, makelaars in koffi, Lauriergracht N 37.
222	36	2	Hy hield het by de gasvlam, en zeide:
223	36	2	”ik dank u, maar ik heb me vergist.
224	36	2	Ik dacht het genoegen te hebben een ouden schoolkameraad voor me te zien, maar...
225	36	2	Last ?
226	36	2	Dit is de naam niet.
227	37	2	- Pardon, zei ik - want ik ben altyd beleefd - ik ben m'nheer Droogstoppel, Batavus Droogstoppel.
228	37	2	Last en Co is de firma, makelaars in koffi, Lauriergr...
229	38	2	- Wel, Droogstoppel, kent ge my niet meer?
230	38	2	Zie my eens goed aan.
231	39	2	Hoe meer ik hem aanzag, hoe meer ik my herinnerde hem meer gezien te hebben.
232	39	2	Maar, zonderling, zyn gelaat deed my de uitwerking alsof ik vreemde parfumerien rook.
233	39	2	Lach hier niet om, lezer, straks zult ge zien hoe dit kwam.
234	39	2	Ik ben verzekerd dat hy geen drup reukwerk by zich droeg, en toch rook ik iets aangenaams, iets sterks, iets wat me herinnerde aan ...
235	39	2	daar had ik het!
236	40	2	- Zyt gy het, riep ik, die my van den Griek hebt verlost?
237	41	2	- Wel zeker, zeide hy, dat was ik.
238	41	2	En hoe gaat het U ?
239	42	2	Ik vertelde dat we met ons dertienen op 't kantoor waren, en dat er zooveel by ons omging.
240	42	2	En toen vroeg ik hoe het hèm ging, wat me later speet, want hy scheen niet in goede omstandigheden te verkeeren, en ik houd niet van arme menschen, omdat er gewoonlyk eigen schuld onder loopt, daar de Heer niet iemand verlaten zou, die hem trouw gediend had.
241	42	2	Had ik eenvoudig gezegd, ”we zyn met ons dertienen, en... goeien avend verder!
242	42	2	dan was ik van hem af geweest.
243	42	2	Maar door dat vragen en antwoorden werd het hoe langer hoe moeielyker - Frits zegt:
244	42	2	hoe langs zoo moeielyker, maar dit doe ik niet - hoe moeielyker dus, om van hem verlost te worden.
245	42	2	Aan den anderen kant moet ik ook weer erkennen dat ge dan dit boek niet hadt te lezen gekregen, want het is een gevolg van die ontmoeting.
246	42	2	Ik houd er van, het goede optemerken, en wie dit niet doen, zyn ontevreden menschen die ik niet lyden kan.
247	43	2	Ja, ja, hy was het, die my uit de handen van den Griek had verlost!
248	43	2	Denk nu niet dat ik ooit door zeeroovers ben genomen geweest, of dat ik twist heb gehad in den Levant.
249	43	2	Ik heb u reeds gezegd dat ik na myn trouwen, met myn vrouw naar den Haag ben gegaan.
250	43	2	Daar hebben wy het Mauritshuis gezien, en flanel gekocht in de Veenestraat.
251	43	2	Dit is het eenige uitstapje dat de zaken my ooit hebben veroorloofd, omdat er zooveel by ons omgaat.
252	43	2	Neen, in Amsterdam zelf had hy om-mynentwil een Griek den neus aan 't bloeden geslagen.
253	43	2	Want hy bemoeide zich altyd met dingen die hem niet aangingen.
254	44	2	Het was in drie of vier en dertig, geloof ik, en in September, want er was kermis te Amsterdam.
255	44	2	Daar myn oude luî van voornemen waren een predikant van my te maken, leerde ik latyn.
256	44	2	Later heb ik myzelf dikwyls afgevraagd, waarom men latyn moet verstaan, om in 't hollandsch te zeggen:
257	44	2	”God is goed?
258	44	2	Genoeg, ik was op de latynsche school - nu zeggen ze gymnasium - en daar was kermis... in Amsterdam, meen ik.
259	44	2	Op de Westermarkt stonden kramen, en als ge een Amsterdammer zyt, lezer, en nagenoeg van myn leeftyd, zult ge u herinneren hoe daaronder één was, die uitmuntte door de zwarte oogen en de lange vlechten van een meisje, dat als een Griekin gekleed was.
260	44	2	Ook haar vader was een Griek, of althans hy zag er uit als een Griek.
261	44	2	Ze verkochten allerlei reukgoed.
262	45	2	Ik was juist oud genoeg om het meisje mooi te vinden, zonder evenwel den moed te hebben haar aantespreken.
263	45	2	Dit zou my ook weinig gebaat hebben, want meisjes van achttien jaren beschouwen een jongen van zestien, als een kind.
264	45	2	En hierin hebben ze groot gelyk.
265	45	2	Toch kwamen wy, jongens van quarta, altyd 's avends op de Westermarkt om dat meisje te zien.
266	46	2	Nu was hy die daar voor me stond met zyn sjaal, eens daarby, schoon hy een paar jaren jonger was dan de anderen, en dus nog te kinderachtig om naar de Griekin te kyken.
267	46	2	Maar hy was de primus van onze klasse - want knap was hy, dit moet ik erkennen - en hy hield veel van spelen, stoeien en vechten.
268	46	2	Dáárom was hy by ons.
269	46	2	Terwyl we dus - we waren wel met ons tienen - vry ver van de kraam af, naar die Griekin stonden te kyken, en beraadslaagden hoe wy 't moesten aanleggen om kennis met haar te maken, werd er besloten geld by-een te leggen om iets in die kraam te koopen.
270	46	2	Maar toen was de goede raad duur, om te weten wie de stoute schoenen zou aantrekken om het meisjen aantespreken.
271	46	2	Ieder wilde, maar niemand durfde.
272	46	2	Er werd geloot, en het lot viel op my.
273	46	2	Nu erken ik, dat ik niet gaarne gevaren trotseer.
274	46	2	Ik ben man en vader, en houd ieder die het gevaar zoekt, voor een gek, wat ook in de Schrift staat.
275	46	2	Het is my inderdaad aangenaam optemerken hoe ik my in myn denkbeelden over gevaar en zulke dingen, gelyk ben gebleven, daar ik thans over zoo-iets nog juist dezelfde meening koester, als dien avend toen ik daar by de kraam van den Griek stond, met de twaalf stuivers die we saamgelegd hadden, in de hand.
276	46	2	Maar zie, uit valsche schaamte durfde ik niet zeggen dat ik niet durfde, en bovendien, ik moest wel vooruit, want myn makkers drongen me, en weldra stond ik voor de kraam.
277	47	2	Het meisje zag ik niet:
278	47	2	ik zag niets!
279	47	2	Alles werd me groen en geel voor de oogen.
280	47	2	Ik stamelde een aoristus primus van ik
281	47	2	weet niet welk werkwoord...
282	48	2	- Plaît-il?
283	48	2	zeide zy.
284	49	2	Ik herstelde my eenigszins, en ging voort:
285	50	2	- Meenin aeide thea, en... dat Egypte een geschenk van den Nyl was.
286	51	2	Ik ben overtuigd dat ik in de kennismaking zou geslaagd zyn, indien niet op dat oogenblik een myner makkers uit kinderachtige baldadigheid my een zoo harden stoot in den rug had gegeven, dat ik heel onzacht tegen de uitstalkast aanvloog, die op halvemanshoogte de voorzy van de kraam afsloot.
287	51	2	Ik voelde een greep in myn nek... een tweeden greep veel lager ... ik zweefde een oogenblik...
288	51	2	en vóór ik recht begreep hoe de zaken stonden, was ik in de kraam van den Griek, die in verstaanbaar fransch zei dat ik een gamin was, en dat hy de policie roepen zou.
289	51	2	Nu was ik wel dicht by het meisje, maar genoegen deed het me niet.
290	51	2	Ik schreide, en bad om genade, want ik zat vreeselyk in angst.
291	51	2	Maar het baatte niet.
292	51	2	De Griek hield me by den arm, en schopte my.
293	51	2	Ik zocht naar myn makkers - we hadden juist dien morgen veel over Scaevola te doen gehad, die zyn hand in 't vuur stak, en in hun latynsche opstellen hadden ze dit zoo heel mooi gevonden - jawel!
294	51	2	Niemand was daar gebleven om voor my een hand in 't vuur te steken...
295	52	2	Zóó meende ik.
296	52	2	Maar zie, daar vloog op-eens myn Sjaalman door de achterdeur de kraam in.
297	52	2	Hy was niet groot of sterk, en pas een jaar of dertien oud, maar hy was een vlug en dapper mannetje.
298	52	2	Nog zie 'k zyn oogen flikkeren - anders zagen ze flauw - hy gaf den Griek een vuistslag, en ik was gered.
299	52	2	Later heb ik gehoord dat de Griek hem duchtig geslagen heeft, maar omdat ik een vast principe heb, me nooit te bemoeien met dingen die me niet aangaan, ben ik terstond weggeloopen.
300	52	2	Ik heb het dus niet gezien.
301	53	2	Ziedaar de reden waarom zyn trekken me zoo aan reukwerk herinnerden, en hoe men in Amsterdam twist kan krygen met een Griek.
302	53	2	Als op latere kermissen die man weer met zyn kraam op de Westermarkt stond, ging ik my altyd elders vermaken.
303	54	2	Daar ik veel van wysgeerige opmerkingen houd, moet ik u toch even zeggen, lezer, hoe wonderbaar de zaken dezer wereld aan elkander hangen.
304	54	2	Als de oogen van dat meisje minder zwart waren geweest, als ze korter vlechten had gehad, of als men my niet tegen die winkelkast had aangeworpen, zoudt ge nu dit boek niet lezen.
305	54	2	Wees dus dankbaar dat dit zoo gebeurd is.
306	54	2	Geloof me, alles in de wereld is goed, zóó als het is, en ontevreden menschen die altyd klagen, zyn myn vrienden niet.
307	54	2	Daar hebt ge Busselinck & Waterman... maar ik moet voortgaan, want myn boek moet af voor de voorjaarsveiling.
308	55	2	Ronduit gezegd - want ik houd van de waarheid - was my het weerzien van dien persoon niet aangenaam.
309	55	2	Ik bemerkte terstond dat het geen soliede konnexie was.
310	55	2	Hy zag zeer bleek, en toen ik hem vroeg hoe laat het was, wist hy 't niet.
